TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
RBFF11;64,01;9,53;0,89;749.349,41;1,88;1,58;;268.634.459,58;19.097,00;Ativa;
RMAI11;39,60;0,00;0,36;3.524,05;0,35;;;265.475.108,03;1.158,00;Passiva;
ROOF11;0,00;0,00;;;49,96;;;31.406.081,80;58,00;Ativa;
RRCI11;83,00;5,38;0,86;165.992,04;8,39;;;46.722.236,46;1.983,00;Ativa;
RSPD11;1.100,00;0,00;0,96;26.438,75;23,21;;;170.503.384,96;30,00;Ativa;
RVBI11;89,06;8,61;0,96;403.256,89;7,42;;;133.183.538,96;11.037,00;Ativa;
RZAK11;93,55;2,58;0,96;1.138.018,56;1,49;;;291.794.705,84;6.713,00;Ativa;
SALI11;0,00;0,00;;;4,94;;;8.026.416,99;2,00;Passiva;
TBOF11;15,56;0,55;119,69;;67,74;72,22;-40,26;1.313.498,11;9.158,00;Passiva;
TCIN11;108,35;0,00;0,78;123.585,75;1,83;;;114.824.826,95;128,00;Ativa;
VCRR11;101,98;0,66;1,02;62.608,43;99,95;;;200.000.000,00;1.854,00;Ativa;
VERE11;233,49;9,36;0,74;;7,50;6,10;;172.871.056,10;54,00;Ativa;
VGHF11;9,79;3,88;1,01;685.995,59;1,00;;;159.232.391,41;7.845,00;Ativa;
VGIP11;100,61;11,81;1,05;4.064.185,04;3,90;;;514.430.345,26;30.529,00;Ativa;
VGIR11;88,41;6,22;0,91;776.096,59;3,44;;;436.095.972,90;22.274,00;Ativa;
VIDS11;0,00;0,00;;;4,62;;;42.854.142,89;488,00;Ativa;
STRX11;8,52;6.000,91;0,00;;0,43;;;295.203.364,69;53,00;Passiva;
HPDP11;79,07;3,33;0,79;894.995,85;1,29;;;291.754.173,69;377,00;Passiva;
HRDF11;1,55;0,00;0,93;20.565,26;63,08;;;12.681.699,64;1.283,00;Ativa;
HSAF11;99,15;7,52;1,01;435.828,96;77,60;;;88.962.262,50;4.116,00;Ativa;
HSML11;85,15;5,04;0,87;2.771.188,26;2,15;;;1.544.629.510,31;122.744,00;Ativa;
IRDM11;127,95;11,21;1,30;8.468.129,26;18,80;14,13;13,86;2.167.872.890,70;161.996,00;Ativa;
RBCO11;56,10;9,88;0,55;155.822,89;3,61;;;382.112.991,30;4.236,00;Ativa;
RBDS11;20,00;11,77;0,64;1.830,54;21,32;18,99;-62,36;3.930.061,20;1.017,00;Ativa;
ARCT11;100,49;20,27;0,99;787.682,52;69,86;;;162.232.760,08;5.804,00;Ativa;
ATCR11;0,00;0,00;;;0,78;;;72.860.726,40;33,00;Ativa;
BBFI11B;2.350,00;12,96;0,93;459.382,04;8,53;1,51;3,28;327.816.882,02;7.816,00;Passiva;
BBIM11;0,00;0,00;;;16,45;-13,07;;64.779.558,74;20,00;Ativa;
DOVL11B;21,39;121,58;0,02;;3,57;;;59.010.629,22;7,00;Ativa;
FISC11;165,00;0,57;1,06;33.000,00;0,33;;;254.356.373,94;65,00;Ativa;
HGLG11;170,11;7,45;1,14;7.597.561,67;6,01;12,08;10,67;2.739.487.707,59;280.532,00;Ativa;
HGPO11;216,00;5,77;0,89;330.802,19;5,51;;;423.466.782,77;9.950,00;Passiva;
HGRE11;133,80;6,70;0,79;3.078.410,07;1,27;0,34;3,55;1.998.358.393,35;110.914,00;Ativa;
LATR11B;150,00;4,99;5,19;550,00;111,50;;;3.589.511,84;163,00;Ativa;
PABY11;12,70;0,00;;4.214,20;;;-14,06;-6.281.734,30;447,00;Passiva;
PATC11;67,00;5,39;0,78;358.919,00;5,75;;;299.994.986,42;13.487,00;Ativa;
PVBI11;95,18;5,21;0,99;2.254.385,48;14,55;;;937.403.918,87;31.680,00;Ativa;
QAGR11;51,70;9,04;0,89;664.850,93;0,13;;;294.400.660,10;18.019,00;Ativa;
QIFF11;98,79;6,74;1,03;11.203,83;0,59;;;14.422.226,23;146,00;Passiva;
SPVJ11;0,00;0,00;;;6,01;;;514.456.759,72;25,00;Ativa;
VSEC11;85,05;7,98;223,82;5.003,87;21,52;;;6.393.711,59;41,00;Ativa;
VTLT11;101,70;8,71;1,00;274.276,33;1,23;0,05;;216.175.118,26;5.540,00;Ativa;
BMII11;0,00;0,00;;;0,46;;;69.159.289,74;12,00;Ativa;
BVAR11;0,00;0,00;;;1,03;10,03;;691.034.718,99;69,00;Passiva;
LFTT11;108,24;6,33;1,77;1.944.692,00;16,26;;;429.557.690,92;364,00;Ativa;
MAXR11;81,05;9,54;0,69;147.189,63;1,38;-6,73;-5,94;132.504.820,48;3.066,00;Passiva;
MBRF11;865,02;10,42;0,76;54.489,04;3,83;-2,74;-4,41;116.031.980,30;2.840,00;Ativa;
MCCI11;101,98;7,70;1,01;4.060.367,30;1,98;;;899.538.457,59;45.411,00;Ativa;
RZTR11;95,00;6,29;0,98;3.707.228,00;52,93;;;1.069.504.651,37;30.109,00;Ativa;
VOTS11;80,00;5,85;0,81;3.606,55;8,25;0,05;-3,49;81.909.487,55;305,00;Ativa;
VRTA11;106,98;9,11;1,06;2.335.918,85;8,17;-7,35;0,45;1.010.652.173,25;91.020,00;Ativa;
XPCI11;100,00;9,21;1,03;3.606.477,30;0,19;;;636.538.861,21;30.298,00;Ativa;
XPCM11;40,50;20,99;0,56;317.785,70;2,98;-5,05;-23,54;173.353.021,06;32.708,00;Passiva;
XPHT11;85,68;0,00;0,99;38.284,12;0,67;;;330.389.677,16;1.550,00;Ativa;
CXTL11;410,00;4,10;0,63;21.154,69;1,20;5,53;-7,32;34.657.816,54;569,00;Passiva;
FCAS11;0,00;0,00;;;186,17;;;80.684.223,04;2,00;Passiva;
RFOF11;82,00;8,43;0,89;298.393,00;0,62;;;99.008.768,48;3.500,00;Ativa;
RNDP11;707,00;31,03;0,92;13.402,10;5,22;52,13;-8,83;82.740.838,99;875,00;Ativa;
SADI11;84,99;2,96;0,85;682.904,07;2,92;;;319.447.459,61;2.860,00;Ativa;
SAIC11B;39,52;0,00;0,73;39,00;5,57;;;77.761.114,57;52,00;Passiva;
BLCP11;95,00;6,28;0,94;67.410,65;3,51;;;194.976.359,83;182,00;Ativa;
BTLG11;110,65;6,29;1,09;6.892.285,07;17,23;16,81;17,13;1.404.587.725,60;111.547,00;Ativa;
HGFF11;80,01;8,56;0,84;552.473,33;3,98;;;271.606.656,75;8.708,00;Ativa;
HGRU11;116,84;7,22;0,99;5.086.553,33;1,37;0,72;;2.169.838.766,49;129.811,00;Ativa;
HLOG11;110,50;6,95;0,93;120.504,96;1,91;;;507.453.457,78;4.052,00;Ativa;
LASC11;91,99;5,07;0,89;370.490,76;9,51;;;260.083.653,39;141,00;Ativa;
LGCP11;89,89;6,79;0,91;226.069,56;0,58;;;270.011.706,16;9.733,00;Ativa;
RBIV11;85,00;8,53;0,83;512.634,89;30,72;;;105.464.967,11;3.142,00;Ativa;
RBRD11;58,29;6,46;0,82;98.537,85;3,99;17,96;-11,82;132.282.376,33;12.020,00;Passiva;
RBRF11;79,90;9,68;0,89;3.542.539,33;16,22;-5,08;-6,42;1.226.124.289,97;73.350,00;Ativa;
RBRL11;101,22;8,15;0,95;1.862.191,26;10,56;;;715.432.791,49;5.791,00;Ativa;
RBRP11;79,90;7,33;0,92;2.580.478,59;25,39;-3,14;;1.055.098.676,95;88.346,00;Ativa;
SHOP11;100,00;0,00;1,67;;3,68;;;88.878.414,23;11,00;Ativa;
VLJS11;1.141,14;4,80;1,43;;2,43;;;47.072.303,02;12,00;Passiva;
VLOL11;95,00;5,54;0,98;123.640,33;1,14;4,13;5,54;173.066.588,66;4.772,00;Passiva;
WTSP11B;46,06;3,86;0,58;13.507,00;3,44;-34,63;;79.060.153,00;200,00;Ativa;
CBOP11;71,01;8,86;0,78;118.649,81;1,04;3,40;1,31;128.178.286,06;3.759,00;Passiva;
